"PRODUCTION_NO"	"CHANNEL_ID"	"START_TIME"	"FIRST_PUB"	"PUB_DESCRIPTION"	"PUB_SOURCE_URL"	"PUB_TITLE"	"LAST_CHANGED_DATE"	"ON_DEMAND_FILENAME"	"PUB_SOURCE_URL_UPPER"	"ON_DEMAND_RESOURCE_PATH_UPPER"	"PUBLIC_URL"
901966220	88	29-05-2012 18:27			"dka/00000000-0000-0000-0000-00004c730016"	"Hund og hund imellem. 20.11.1995."	12-06-2012 12:31	"54345_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-00004C730016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/08-02-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c730016"
505184760	88	29-05-2012 18:27			"dka/00000000-0000-0000-0000-00004c740016"	"Huset på Christianshavn, 75:84. En gentleman bliver 50. "	12-06-2012 12:31	"56768_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-00004C740016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/27-06-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c740016"
800735030	88	29-05-2012 18:27			"dka/00000000-0000-0000-0000-00004c750016"	"Party m. MATHIAS. MGP 2007."	12-06-2012 12:31	"58787_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-00004C750016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/14-09-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c750016"
830040570	88	29-05-2012 18:27			"dka/00000000-0000-0000-0000-00004c760016"	"Jul i Hjemmeværnet, 04:24. Forlad os vore synder."	12-06-2012 12:31	"63425_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-00004C760016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2009/11/30/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-00004c760016"
214061710	88	29-05-2012 18:52			"dka/00000000-0000-0000-0000-0000576a0016"	"Interview bliver afbrudt"	12-06-2012 12:35	"55528_512x384x400K.flv"	"DKA/00000000-0000-0000-0000-0000576A0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/26-03-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000576a0016"
808413400	88	29-05-2012 19:02			"dka/00000000-0000-0000-0000-0000576b0016"	"Hemmelig sommer, 3:4. En golfbold i panden."	12-06-2012 12:35	"66949_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000576B0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/7/20/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000576b0016"
103975710	88	29-05-2012 18:52			"dka/00000000-0000-0000-0000-0000576c0016"	"Portræt af Prins Joachim."	12-06-2012 12:35	"66096_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000576C0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/4/1/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000576c0016"
902804960	88	29-05-2012 18:14			"dka/00000000-0000-0000-0000-0000576d0016"	"Jagten på historien, 5:8. Færøerne."	12-06-2012 12:35	"65677_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000576D0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2011/2/10/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000576d0016"
505650910	88	29-05-2012 18:14			"dka/00000000-0000-0000-0000-0000576e0016"	"Anthonsen. 1:5. Den store sag."	12-06-2012 12:35	"27546_720x540x1400K.mp4"	"DKA/00000000-0000-0000-0000-0000576E0016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/2010/12/13/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-0000576e0016"
902151980	88	29-05-2012 19:06			"dka/00000000-0000-0000-0000-000057700016"	"Vagn og Willy"	12-06-2012 12:36	"53055_720x540x1400K.flv"	"DKA/00000000-0000-0000-0000-000057700016"	"RTMP://VOD-BONANZA.GSS.DR.DK/BONANZA/MP4:BONANZA/12-01-2008/"	"http://www.danskkulturarv.dk/chaos_post/00000000-0000-0000-0000-000057700016"
